SPAC IPO ,Date of IPO,CUSIP
Kismet Acquisition Three Corp.,2/17/2021,G5276C128
Kismet Acquisition Two Corp.,2/17/2021,G52807123
SportsTek Acquisition Corp.,2/17/2021,849196209
Finserv Acquisition Corp. II,2/17/2021,31809Y202
Medicus Sciences Acquisition Corp.,2/16/2021,G5960S116
FS Development Corp. II,2/16/2021,
Pathfinder Acquisition Corp.,2/16/2021,G04119114
Moringa Acquisition Corp.,2/16/2021,G6S23K116
New Vista Acquisition Corp.,2/16/2021,G6529L113
ABG Acquisition Corp. I,2/16/2021,
Churchill Capital Corp. VII,2/12/2021,17144M201
Churchill Capital Corp. VI,2/12/2021,17143W200
Tishman Speyer Innovation Corp. II,2/11/2021,88825H209
Bite Acquisition Corp.,2/11/2021,09175K204
Social Leverage Acquisition Corp. I,2/11/2021,83363K201
Catcha Investment Corp.,2/11/2021,G1962Y128
Broadscale Acquisition Corp.,2/11/2021,11134Y200
Tuatara Capital Acquisition Corp.,2/11/2021,G9118J127
Rosecliff Acquisition Corp. I,2/11/2021,77732R202
Goal Acquisitions Corp.,2/10/2021,38021H206
ION Acquisition Corp. 2 Ltd.,2/10/2021,G49393120
Apollo Strategic Growth Capital II,2/9/2021,G0412A110
Foresight Acquisition Corp.,2/9/2021,34552Y205
ScION Tech Growth II,2/9/2021,G31070124
Power & Digital Infrastructure Acquisition Corp.,2/9/2021,739190205
Lazard Growth Acquisition Corp. I,2/9/2021,G54035129
Adara Acquisition Corp.,2/8/2021,00653H201
Venus Acquisition Corp.,2/8/2021,G9420F136
Pivotal Investment Corp. III,2/8/2021,72582M205
ECP Environmental Growth Opportunities Corp.,2/8/2021,26829T209
Spartan Acquisition Corp. III,2/8/2021,84677R205
Evo Acquisition Corp.,2/8/2021,30052G207
"GigCapital4, Inc.",2/8/2021,37518G200
Priveterra Acquisition Corp.,2/8/2021,74275N201
Crown PropTech Acquisitions,2/8/2021,G25741128
